dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.9109374999999998,0.020924280652708998,0.9331597222222222,12.477719999969121,0.00789645625002322
Adiac,0.8423469387755101,0.006720982679942717,0.8526785714285714,14.79495322000148,0.010747459882810517
ArrowHead,0.857313829787234,0.01611528641311569,0.8745567375886525,1.9275820199865847,0.0024976384765380997
Beef,0.7933333333333333,0.05734883511361752,0.9,1.398239560041111,0.0010674016797167952
BeetleFly,0.8700000000000001,0.024494897427831803,0.9,0.596024519985076,0.00044866605467461793
BirdChicken,0.95,0.05477225575051661,1.0,0.6835515199913061,0.000516104453168964
BME,0.9989583333333332,0.002083333333333348,1.0,1.0394744200006243,0.0016663999610301516
Car,0.9366666666666665,0.012472191289246462,0.95,2.772794099972816,0.0019388064844150677
CBF,0.9987499999999999,0.000416666666666643,0.9989583333333333,0.9100926600425737,0.0073471049218738925
Chinatown,0.9916666666666666,0.001041666666666652,0.9921875,0.49621716000547167,0.002046755781242382
ChlorineConcentration,0.8636979166666666,0.004226779909431984,0.8671875,18.00755190000782,0.09625294417963062
CinCECGTorso,0.8681818181818182,0.011911236825653959,0.886126893939394,7.112025539946626,0.139308967031198
Coffee,1.0,0.0,1.0,1.2499288600025467,0.00046447128910074296
Computers,0.8257004310344828,0.0032316359401138106,0.8296066810344828,10.455649379982788,0.006850184648445179
CricketX,0.8602678571428571,0.0022763479971396497,0.8638392857142857,12.255757879999873,0.008546334218769403
CricketY,0.875,0.00646936461883457,0.8816964285714286,14.658011459972476,0.010222727968741196
CricketZ,0.8668154761904763,0.006153593192897401,0.8735119047619048,11.157897740011686,0.0077822316796527955
Crop,0.7767466730038023,0.002467194748053285,0.7810717680608364,104.22737885999668,0.15737739531243164
DiatomSizeReduction,0.9647499999999999,0.01255562622890629,0.98125,0.7601802799879807,0.004541498671841282
DistalPhalanxOutlineAgeGroup,0.84375,0.011876827344782693,0.8645833333333334,3.850901759993576,0.001180377500017471
DistalPhalanxOutlineCorrect,0.8154999999999999,0.01113412547082165,0.8262499999999999,5.933205160008219,0.0020202250390923384
DistalPhalanxTW,0.7127840909090909,0.01755498952589728,0.7372159090909092,4.453978699981235,0.0013653934765528674
Earthquakes,0.7355113636363637,0.012979358878120786,0.7485795454545454,6.571724980010186,0.001993396835945305
ECG200,0.9147569444444444,0.01020325364924662,0.9253472222222222,1.3517885000081151,0.0008553650781493616
ECG5000,0.9451320422535211,0.0011432144800305954,0.9466989436619718,6.146521139991819,0.03770318230468774
ECGFiveDays,0.9995535714285715,0.000546761103299801,1.0,0.8017548600211739,0.0067754500000063445
ElectricDevices,0.7410590509197547,0.00449288334514022,0.7475756464942682,111.47816358000418,0.06388366996096977
